AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_000011605.1	ASM1160v1	Pectobacterium atrosepticum SCRI1043 (enterobacteria)	29471	SAMEA1705920	5064019				EBI	
GCF_000023605.1	ASM2360v1	Pectobacterium carotovorum subsp. carotovorum PC1 (enterobacteria)	554	SAMN02598478	4862913		PC1		NCBI	31289
GCF_000024645.1	ASM2464v1	Pectobacterium parmentieri WPP163 (enterobacteria)	1905730	SAMN02598479	5063892		WPP163		NCBI	31293
GCF_000173135.1	ASM17313v1	Pectobacterium brasiliense PBR1692 (enterobacteria)	180957	SAMN02472014	74741		PBR1692		NCBI	31121
GCF_000173155.1	ASM17315v1	Pectobacterium carotovorum subsp. carotovorum WPP14 (enterobacteria)	554	SAMN02472006	37002		WPP14		NCBI	31123
GCF_000260925.1	ASM26092v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN02604188	5164411		SCC3193		NCBI	122637
GCF_000291725.1	PecWas1.0	Pectobacterium wasabiae CFBP 3304 (enterobacteria)	55208	SAMN02471791	259694	532	CFBP 3304		NCBI	159625
GCF_000294535.1	ASM29453v1	Pectobacterium carotovorum subsp. carotovorum PCC21 (enterobacteria)	554	SAMN02603169	4842771		PCC21		NCBI	171960
GCF_000389755.1	Pa6276v1.0	Pectobacterium atrosepticum CFBP 6276 (enterobacteria)	29471	SAMN02469608	1522583	1015	CFBP 6276		NCBI	188399
GCF_000632375.1	Pectobacterium wasabiae CFIA1002	Pectobacterium parmentieri CFIA1002 (enterobacteria)	1905730	SAMN02630743	345203	175	CFIA1002		Canadian Food Inspection Agency	
GCF_000696465.1	ASM69646v1	Pectobacterium atrosepticum (enterobacteria)	29471	SAMN02797737	5004926	95	JG10-08		Agricultural University of Hebei	247436
GCF_000738105.1	ASM73810v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN02947973	104313	21	CFIA1009		Canadian Food Inspection Agency	
GCF_000738115.1	ASM73811v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN02947962	254473	27	CFIA1001		Canadian Food Inspection Agency	
